,ID,num_facts,model,dataset,note_type,prompt
175,175,53,llama3,coral,pdac,PROMPT1_ICL
176,176,23,llama3,coral,pdac,PROMPT1_ICL
177,177,17,llama3,coral,pdac,PROMPT1_ICL
178,178,42,llama3,coral,pdac,PROMPT1_ICL
179,179,17,llama3,coral,pdac,PROMPT1_ICL
180,180,15,llama3,coral,pdac,PROMPT1_ICL
181,181,21,llama3,coral,pdac,PROMPT1_ICL
182,182,24,llama3,coral,pdac,PROMPT1_ICL
183,183,20,llama3,coral,pdac,PROMPT1_ICL
184,184,22,llama3,coral,pdac,PROMPT1_ICL
185,185,25,llama3,coral,pdac,PROMPT1_ICL
186,186,45,llama3,coral,pdac,PROMPT1_ICL
187,187,55,llama3,coral,pdac,PROMPT1_ICL
188,188,28,llama3,coral,pdac,PROMPT1_ICL
189,189,26,llama3,coral,pdac,PROMPT1_ICL
190,190,33,llama3,coral,pdac,PROMPT1_ICL
191,191,38,llama3,coral,pdac,PROMPT1_ICL
192,192,28,llama3,coral,pdac,PROMPT1_ICL
193,193,19,llama3,coral,pdac,PROMPT1_ICL
194,194,22,llama3,coral,pdac,PROMPT1_ICL
195,195,20,llama3,coral,pdac,PROMPT1_ICL
196,196,22,llama3,coral,pdac,PROMPT1_ICL
197,197,32,llama3,coral,pdac,PROMPT1_ICL
198,198,20,llama3,coral,pdac,PROMPT1_ICL
199,199,26,llama3,coral,pdac,PROMPT1_ICL
200,200,34,llama3,coral,pdac,PROMPT1_ICL
201,201,20,llama3,coral,pdac,PROMPT1_ICL
202,202,19,llama3,coral,pdac,PROMPT1_ICL
203,203,39,llama3,coral,pdac,PROMPT1_ICL
204,204,27,llama3,coral,pdac,PROMPT1_ICL
205,205,26,llama3,coral,pdac,PROMPT1_ICL
206,206,20,llama3,coral,pdac,PROMPT1_ICL
207,207,26,llama3,coral,pdac,PROMPT1_ICL
208,208,18,llama3,coral,pdac,PROMPT1_ICL
209,209,29,llama3,coral,pdac,PROMPT1_ICL
210,210,21,llama3,coral,pdac,PROMPT1_ICL
211,211,19,llama3,coral,pdac,PROMPT1_ICL
212,212,33,llama3,coral,pdac,PROMPT1_ICL
213,213,24,llama3,coral,pdac,PROMPT1_ICL
214,214,35,llama3,coral,pdac,PROMPT1_ICL
215,215,27,llama3,coral,pdac,PROMPT1_ICL
216,216,41,llama3,coral,pdac,PROMPT1_ICL
217,217,36,llama3,coral,pdac,PROMPT1_ICL
218,218,22,llama3,coral,pdac,PROMPT1_ICL
219,219,23,llama3,coral,pdac,PROMPT1_ICL
220,220,26,llama3,coral,pdac,PROMPT1_ICL
221,221,19,llama3,coral,pdac,PROMPT1_ICL
222,222,21,llama3,coral,pdac,PROMPT1_ICL
223,223,54,llama3,coral,pdac,PROMPT1_ICL
224,224,34,llama3,coral,pdac,PROMPT1_ICL
225,225,30,llama3,coral,pdac,PROMPT1_ICL
226,226,24,llama3,coral,pdac,PROMPT1_ICL
227,227,19,llama3,coral,pdac,PROMPT1_ICL
228,228,20,llama3,coral,pdac,PROMPT1_ICL
229,229,24,llama3,coral,pdac,PROMPT1_ICL
230,230,20,llama3,coral,pdac,PROMPT1_ICL
0,0,15,llama3,coral,pdac,PROMPT2
1,1,14,llama3,coral,pdac,PROMPT2
2,2,14,llama3,coral,pdac,PROMPT2
3,3,18,llama3,coral,pdac,PROMPT2
4,4,19,llama3,coral,pdac,PROMPT2
5,5,12,llama3,coral,pdac,PROMPT2
6,6,16,llama3,coral,pdac,PROMPT2
7,7,14,llama3,coral,pdac,PROMPT2
8,8,11,llama3,coral,pdac,PROMPT2
9,9,13,llama3,coral,pdac,PROMPT2
10,10,19,llama3,coral,pdac,PROMPT2
11,11,20,llama3,coral,pdac,PROMPT2
12,12,22,llama3,coral,pdac,PROMPT2
13,13,17,llama3,coral,pdac,PROMPT2
14,14,14,llama3,coral,pdac,PROMPT2
15,15,12,llama3,coral,pdac,PROMPT2
16,16,29,llama3,coral,pdac,PROMPT2
17,17,13,llama3,coral,pdac,PROMPT2
18,18,14,llama3,coral,pdac,PROMPT2
19,19,28,llama3,coral,pdac,PROMPT2
20,20,20,llama3,coral,pdac,PROMPT2
21,21,11,llama3,coral,pdac,PROMPT2
22,22,25,llama3,coral,pdac,PROMPT2
23,23,17,llama3,coral,pdac,PROMPT2
24,24,17,llama3,coral,pdac,PROMPT2
25,25,18,llama3,coral,pdac,PROMPT2
26,26,16,llama3,coral,pdac,PROMPT2
27,27,12,llama3,coral,pdac,PROMPT2
28,28,16,llama3,coral,pdac,PROMPT2
29,29,14,llama3,coral,pdac,PROMPT2
30,30,18,llama3,coral,pdac,PROMPT2
31,31,33,llama3,coral,pdac,PROMPT2
32,32,28,llama3,coral,pdac,PROMPT2
33,33,21,llama3,coral,pdac,PROMPT2
34,34,11,llama3,coral,pdac,PROMPT2
35,35,16,llama3,coral,pdac,PROMPT2
36,36,30,llama3,coral,pdac,PROMPT2
37,37,22,llama3,coral,pdac,PROMPT2
38,38,18,llama3,coral,pdac,PROMPT2
39,39,15,llama3,coral,pdac,PROMPT2
40,40,11,llama3,coral,pdac,PROMPT2
41,41,15,llama3,coral,pdac,PROMPT2
42,42,16,llama3,coral,pdac,PROMPT2
43,43,17,llama3,coral,pdac,PROMPT2
44,44,16,llama3,coral,pdac,PROMPT2
45,45,21,llama3,coral,pdac,PROMPT2
46,46,17,llama3,coral,pdac,PROMPT2
47,47,29,llama3,coral,pdac,PROMPT2
48,48,10,llama3,coral,pdac,PROMPT2
49,49,18,llama3,coral,pdac,PROMPT2
50,50,17,llama3,coral,pdac,PROMPT2
51,51,9,llama3,coral,pdac,PROMPT2
52,52,14,llama3,coral,pdac,PROMPT2
53,53,14,llama3,coral,pdac,PROMPT2
54,54,6,llama3,coral,pdac,PROMPT2
55,55,18,llama3,coral,pdac,PROMPT2
56,56,18,llama3,coral,pdac,PROMPT2
57,57,35,llama3,coral,pdac,PROMPT2
58,58,25,llama3,coral,pdac,PROMPT2
59,59,34,llama3,coral,pdac,PROMPT2
60,60,21,llama3,coral,pdac,PROMPT2
61,61,12,llama3,coral,pdac,PROMPT2
62,62,13,llama3,coral,pdac,PROMPT2
63,63,14,llama3,coral,pdac,PROMPT2
64,64,15,llama3,coral,pdac,PROMPT2
65,65,18,llama3,coral,pdac,PROMPT2
66,66,13,llama3,coral,pdac,PROMPT2
67,67,7,llama3,coral,pdac,PROMPT2
68,68,17,llama3,coral,pdac,PROMPT2
69,69,15,llama3,coral,pdac,PROMPT2
70,70,16,llama3,coral,pdac,PROMPT2
71,71,28,llama3,coral,pdac,PROMPT2
72,72,24,llama3,coral,pdac,PROMPT2
73,73,19,llama3,coral,pdac,PROMPT2
74,74,22,llama3,coral,pdac,PROMPT2
75,75,21,llama3,coral,pdac,PROMPT2
76,76,15,llama3,coral,pdac,PROMPT2
77,77,21,llama3,coral,pdac,PROMPT2
78,78,17,llama3,coral,pdac,PROMPT2
79,79,17,llama3,coral,pdac,PROMPT2
80,80,14,llama3,coral,pdac,PROMPT2
81,81,11,llama3,coral,pdac,PROMPT2
82,82,13,llama3,coral,pdac,PROMPT2
83,83,13,llama3,coral,pdac,PROMPT2
84,84,16,llama3,coral,pdac,PROMPT2
85,85,36,llama3,coral,pdac,PROMPT2
86,86,12,llama3,coral,pdac,PROMPT2
87,87,18,llama3,coral,pdac,PROMPT2
88,88,13,llama3,coral,pdac,PROMPT2
89,89,15,llama3,coral,pdac,PROMPT2
90,90,19,llama3,coral,pdac,PROMPT2
91,91,12,llama3,coral,pdac,PROMPT2
92,92,21,llama3,coral,pdac,PROMPT2
93,93,14,llama3,coral,pdac,PROMPT2
94,94,15,llama3,coral,pdac,PROMPT2
95,95,17,llama3,coral,pdac,PROMPT2
96,96,11,llama3,coral,pdac,PROMPT2
97,97,12,llama3,coral,pdac,PROMPT2
98,98,19,llama3,coral,pdac,PROMPT2
99,99,17,llama3,coral,pdac,PROMPT2
100,100,20,llama3,coral,pdac,PROMPT2
101,101,23,llama3,coral,pdac,PROMPT2
102,102,22,llama3,coral,pdac,PROMPT2
103,103,11,llama3,coral,pdac,PROMPT2
104,104,13,llama3,coral,pdac,PROMPT2
105,105,29,llama3,coral,pdac,PROMPT2
106,106,15,llama3,coral,pdac,PROMPT2
107,107,11,llama3,coral,pdac,PROMPT2
108,108,18,llama3,coral,pdac,PROMPT2
109,109,24,llama3,coral,pdac,PROMPT2
110,110,12,llama3,coral,pdac,PROMPT2
111,111,11,llama3,coral,pdac,PROMPT2
112,112,14,llama3,coral,pdac,PROMPT2
113,113,15,llama3,coral,pdac,PROMPT2
114,114,12,llama3,coral,pdac,PROMPT2
115,115,14,llama3,coral,pdac,PROMPT2
116,116,9,llama3,coral,pdac,PROMPT2
117,117,21,llama3,coral,pdac,PROMPT2
118,118,16,llama3,coral,pdac,PROMPT2
119,119,18,llama3,coral,pdac,PROMPT2
120,120,16,llama3,coral,pdac,PROMPT2
121,121,18,llama3,coral,pdac,PROMPT2
122,122,46,llama3,coral,pdac,PROMPT2
123,123,15,llama3,coral,pdac,PROMPT2
124,124,5,llama3,coral,pdac,PROMPT2
125,125,15,llama3,coral,pdac,PROMPT2
126,126,15,llama3,coral,pdac,PROMPT2
127,127,31,llama3,coral,pdac,PROMPT2
128,128,25,llama3,coral,pdac,PROMPT2
129,129,16,llama3,coral,pdac,PROMPT2
130,130,19,llama3,coral,pdac,PROMPT2
131,131,18,llama3,coral,pdac,PROMPT2
132,132,14,llama3,coral,pdac,PROMPT2
133,133,13,llama3,coral,pdac,PROMPT2
134,134,17,llama3,coral,pdac,PROMPT2
135,135,18,llama3,coral,pdac,PROMPT2
136,136,21,llama3,coral,pdac,PROMPT2
137,137,13,llama3,coral,pdac,PROMPT2
138,138,25,llama3,coral,pdac,PROMPT2
139,139,22,llama3,coral,pdac,PROMPT2
140,140,15,llama3,coral,pdac,PROMPT2
141,141,14,llama3,coral,pdac,PROMPT2
142,142,13,llama3,coral,pdac,PROMPT2
143,143,15,llama3,coral,pdac,PROMPT2
144,144,15,llama3,coral,pdac,PROMPT2
145,145,13,llama3,coral,pdac,PROMPT2
146,146,9,llama3,coral,pdac,PROMPT2
147,147,16,llama3,coral,pdac,PROMPT2
148,148,21,llama3,coral,pdac,PROMPT2
149,149,8,llama3,coral,pdac,PROMPT2
150,150,16,llama3,coral,pdac,PROMPT2
151,151,15,llama3,coral,pdac,PROMPT2
152,152,13,llama3,coral,pdac,PROMPT2
153,153,45,llama3,coral,pdac,PROMPT2
154,154,22,llama3,coral,pdac,PROMPT2
155,155,41,llama3,coral,pdac,PROMPT2
156,156,14,llama3,coral,pdac,PROMPT2
157,157,15,llama3,coral,pdac,PROMPT2
158,158,12,llama3,coral,pdac,PROMPT2
159,159,14,llama3,coral,pdac,PROMPT2
160,160,12,llama3,coral,pdac,PROMPT2
161,161,15,llama3,coral,pdac,PROMPT2
162,162,11,llama3,coral,pdac,PROMPT2
163,163,16,llama3,coral,pdac,PROMPT2
164,164,20,llama3,coral,pdac,PROMPT2
165,165,18,llama3,coral,pdac,PROMPT2
166,166,15,llama3,coral,pdac,PROMPT2
167,167,14,llama3,coral,pdac,PROMPT2
168,168,13,llama3,coral,pdac,PROMPT2
169,169,13,llama3,coral,pdac,PROMPT2
170,170,20,llama3,coral,pdac,PROMPT2
171,171,15,llama3,coral,pdac,PROMPT2
172,172,21,llama3,coral,pdac,PROMPT2
173,173,20,llama3,coral,pdac,PROMPT2
174,174,19,llama3,coral,pdac,PROMPT2
175,175,13,llama3,coral,pdac,PROMPT2
176,176,15,llama3,coral,pdac,PROMPT2
177,177,16,llama3,coral,pdac,PROMPT2
178,178,30,llama3,coral,pdac,PROMPT2
179,179,11,llama3,coral,pdac,PROMPT2
180,180,9,llama3,coral,pdac,PROMPT2
181,181,13,llama3,coral,pdac,PROMPT2
182,182,18,llama3,coral,pdac,PROMPT2
183,183,18,llama3,coral,pdac,PROMPT2
184,184,15,llama3,coral,pdac,PROMPT2
185,185,23,llama3,coral,pdac,PROMPT2
186,186,13,llama3,coral,pdac,PROMPT2
187,187,48,llama3,coral,pdac,PROMPT2
188,188,17,llama3,coral,pdac,PROMPT2
189,189,12,llama3,coral,pdac,PROMPT2
190,190,30,llama3,coral,pdac,PROMPT2
191,191,23,llama3,coral,pdac,PROMPT2
192,192,22,llama3,coral,pdac,PROMPT2
193,193,15,llama3,coral,pdac,PROMPT2
194,194,14,llama3,coral,pdac,PROMPT2
195,195,17,llama3,coral,pdac,PROMPT2
196,196,19,llama3,coral,pdac,PROMPT2
197,197,18,llama3,coral,pdac,PROMPT2
198,198,13,llama3,coral,pdac,PROMPT2
199,199,17,llama3,coral,pdac,PROMPT2
200,200,18,llama3,coral,pdac,PROMPT2
201,201,12,llama3,coral,pdac,PROMPT2
202,202,13,llama3,coral,pdac,PROMPT2
203,203,29,llama3,coral,pdac,PROMPT2
204,204,19,llama3,coral,pdac,PROMPT2
205,205,15,llama3,coral,pdac,PROMPT2
206,206,13,llama3,coral,pdac,PROMPT2
207,207,14,llama3,coral,pdac,PROMPT2
208,208,11,llama3,coral,pdac,PROMPT2
209,209,14,llama3,coral,pdac,PROMPT2
210,210,14,llama3,coral,pdac,PROMPT2
211,211,14,llama3,coral,pdac,PROMPT2
212,212,24,llama3,coral,pdac,PROMPT2
213,213,17,llama3,coral,pdac,PROMPT2
214,214,15,llama3,coral,pdac,PROMPT2
215,215,20,llama3,coral,pdac,PROMPT2
216,216,30,llama3,coral,pdac,PROMPT2
217,217,14,llama3,coral,pdac,PROMPT2
218,218,15,llama3,coral,pdac,PROMPT2
219,219,10,llama3,coral,pdac,PROMPT2
220,220,17,llama3,coral,pdac,PROMPT2
221,221,11,llama3,coral,pdac,PROMPT2
222,222,14,llama3,coral,pdac,PROMPT2
223,223,28,llama3,coral,pdac,PROMPT2
224,224,20,llama3,coral,pdac,PROMPT2
225,225,18,llama3,coral,pdac,PROMPT2
226,226,16,llama3,coral,pdac,PROMPT2
227,227,13,llama3,coral,pdac,PROMPT2
228,228,13,llama3,coral,pdac,PROMPT2
229,229,16,llama3,coral,pdac,PROMPT2
230,230,11,llama3,coral,pdac,PROMPT2
0,0,19,llama3,coral,pdac,PROMPT2_ICL
1,1,16,llama3,coral,pdac,PROMPT2_ICL
2,2,29,llama3,coral,pdac,PROMPT2_ICL
3,3,18,llama3,coral,pdac,PROMPT2_ICL
4,4,31,llama3,coral,pdac,PROMPT2_ICL
5,5,15,llama3,coral,pdac,PROMPT2_ICL
6,6,21,llama3,coral,pdac,PROMPT2_ICL
7,7,15,llama3,coral,pdac,PROMPT2_ICL
8,8,13,llama3,coral,pdac,PROMPT2_ICL
9,9,20,llama3,coral,pdac,PROMPT2_ICL
10,10,32,llama3,coral,pdac,PROMPT2_ICL
11,11,21,llama3,coral,pdac,PROMPT2_ICL
12,12,21,llama3,coral,pdac,PROMPT2_ICL
13,13,17,llama3,coral,pdac,PROMPT2_ICL
14,14,16,llama3,coral,pdac,PROMPT2_ICL
15,15,12,llama3,coral,pdac,PROMPT2_ICL
16,16,26,llama3,coral,pdac,PROMPT2_ICL
17,17,14,llama3,coral,pdac,PROMPT2_ICL
18,18,20,llama3,coral,pdac,PROMPT2_ICL
19,19,29,llama3,coral,pdac,PROMPT2_ICL
20,20,31,llama3,coral,pdac,PROMPT2_ICL
21,21,11,llama3,coral,pdac,PROMPT2_ICL
22,22,30,llama3,coral,pdac,PROMPT2_ICL
23,23,23,llama3,coral,pdac,PROMPT2_ICL
24,24,18,llama3,coral,pdac,PROMPT2_ICL
25,25,17,llama3,coral,pdac,PROMPT2_ICL
26,26,16,llama3,coral,pdac,PROMPT2_ICL
27,27,17,llama3,coral,pdac,PROMPT2_ICL
28,28,25,llama3,coral,pdac,PROMPT2_ICL
29,29,31,llama3,coral,pdac,PROMPT2_ICL
30,30,30,llama3,coral,pdac,PROMPT2_ICL
31,31,36,llama3,coral,pdac,PROMPT2_ICL
32,32,30,llama3,coral,pdac,PROMPT2_ICL
33,33,30,llama3,coral,pdac,PROMPT2_ICL
34,34,11,llama3,coral,pdac,PROMPT2_ICL
35,35,17,llama3,coral,pdac,PROMPT2_ICL
36,36,35,llama3,coral,pdac,PROMPT2_ICL
37,37,29,llama3,coral,pdac,PROMPT2_ICL
38,38,28,llama3,coral,pdac,PROMPT2_ICL
39,39,22,llama3,coral,pdac,PROMPT2_ICL
40,40,23,llama3,coral,pdac,PROMPT2_ICL
41,41,25,llama3,coral,pdac,PROMPT2_ICL
42,42,33,llama3,coral,pdac,PROMPT2_ICL
43,43,25,llama3,coral,pdac,PROMPT2_ICL
44,44,21,llama3,coral,pdac,PROMPT2_ICL
45,45,25,llama3,coral,pdac,PROMPT2_ICL
46,46,25,llama3,coral,pdac,PROMPT2_ICL
47,47,31,llama3,coral,pdac,PROMPT2_ICL
48,48,18,llama3,coral,pdac,PROMPT2_ICL
49,49,20,llama3,coral,pdac,PROMPT2_ICL
50,50,21,llama3,coral,pdac,PROMPT2_ICL
51,51,17,llama3,coral,pdac,PROMPT2_ICL
52,52,24,llama3,coral,pdac,PROMPT2_ICL
53,53,18,llama3,coral,pdac,PROMPT2_ICL
54,54,8,llama3,coral,pdac,PROMPT2_ICL
55,55,22,llama3,coral,pdac,PROMPT2_ICL
56,56,20,llama3,coral,pdac,PROMPT2_ICL
57,57,38,llama3,coral,pdac,PROMPT2_ICL
58,58,36,llama3,coral,pdac,PROMPT2_ICL
59,59,25,llama3,coral,pdac,PROMPT2_ICL
60,60,35,llama3,coral,pdac,PROMPT2_ICL
61,61,17,llama3,coral,pdac,PROMPT2_ICL
62,62,28,llama3,coral,pdac,PROMPT2_ICL
63,63,13,llama3,coral,pdac,PROMPT2_ICL
64,64,25,llama3,coral,pdac,PROMPT2_ICL
65,65,21,llama3,coral,pdac,PROMPT2_ICL
66,66,18,llama3,coral,pdac,PROMPT2_ICL
67,67,6,llama3,coral,pdac,PROMPT2_ICL
68,68,19,llama3,coral,pdac,PROMPT2_ICL
